Age,Gender,Income,Education_Level,Travel_Frequency,Preferred_Activities,Vacation_Budget,Location,Proximity_to_Mountains,Proximity_to_Beaches,Favorite_Season,Pets,Environmental_Concerns,Preference
31,non-binary,45179,high school,3,sunbathing,959,suburban,173,154,summer,1,0,0
51,male,47442,bachelor,5,hiking,756,suburban,8,289,summer,0,1,1
26,male,92894,high school,0,sunbathing,804,rural,287,203,winter,1,0,0
58,male,104297,doctorate,5,skiing,2143,urban,286,84,summer,1,0,0
56,male,95662,high school,2,swimming,4627,suburban,299,121,spring,0,0,0
61,male,97842,high school,9,sunbathing,2061,urban,284,24,winter,1,1,0
20,female,21413,high school,9,sunbathing,656,suburban,34,201,spring,0,0,0
44,male,25805,master,0,sunbathing,3474,urban,240,74,summer,1,1,0
46,male,45015,doctorate,4,swimming,3732,urban,67,179,summer,1,1,0
54,female,110936,doctorate,4,hiking,2906,suburban,155,149,winter,1,0,0
43,female,76814,bachelor,2,hiking,3816,urban,264,290,winter,1,1,1
59,male,75564,doctorate,4,skiing,1617,suburban,184,148,spring,0,0,0
18,non-binary,32115,bachelor,7,sunbathing,4777,rural,53,84,summer,1,1,0
68,male,24935,doctorate,8,skiing,1829,urban,287,148,winter,1,0,0
56,male,23567,master,7,swimming,3884,rural,60,102,winter,0,1,0
59,male,25527,bachelor,3,hiking,3461,rural,232,238,fall,1,0,1
21,female,103521,master,4,sunbathing,4342,urban,247,109,summer,0,0,0
60,female,97635,master,9,swimming,3040,urban,146,263,spring,1,1,0
57,male,63101,master,6,hiking,3968,suburban,187,155,winter,1,1,0
26,female,77082,bachelor,1,swimming,2486,urban,91,196,winter,1,0,0
50,female,68910,master,1,hiking,1013,suburban,226,67,summer,0,1,0
24,non-binary,39285,doctorate,1,sunbathing,4557,urban,111,72,summer,0,1,0
25,male,24532,bachelor,0,skiing,4392,suburban,204,165,spring,0,0,0
21,non-binary,112447,doctorate,8,skiing,4368,rural,290,218,spring,1,1,0
29,female,72928,high school,6,swimming,3181,rural,61,161,winter,1,0,0
44,male,112857,doctorate,1,skiing,1202,suburban,11,215,winter,0,1,1
36,female,116614,bachelor,3,skiing,3277,rural,59,232,fall,0,0,1
58,female,53286,high school,4,skiing,2274,rural,169,90,fall,0,0,0
43,non-binary,62698,doctorate,8,hiking,2139,suburban,277,231,spring,0,1,0
51,non-binary,57062,high school,7,sunbathing,3623,suburban,138,133,summer,1,0,0
60,non-binary,97735,bachelor,6,skiing,1850,suburban,241,241,winter,0,0,0
28,female,68929,master,5,swimming,1603,urban,265,221,summer,0,1,0
37,non-binary,77497,bachelor,2,swimming,1582,urban,192,248,summer,1,1,0
34,male,90441,bachelor,4,swimming,3351,urban,89,265,spring,1,0,0
23,non-binary,83403,bachelor,3,swimming,974,urban,43,175,summer,1,0,0
44,non-binary,74016,doctorate,0,sunbathing,2198,urban,151,203,spring,1,0,0
65,female,103684,bachelor,2,skiing,4930,urban,270,190,summer,0,1,0
48,male,92505,doctorate,4,hiking,4601,rural,112,287,fall,1,1,1
27,female,31340,bachelor,0,swimming,4646,rural,210,235,summer,1,1,0
50,female,38220,doctorate,0,skiing,1870,rural,252,137,summer,0,0,0
52,male,78541,bachelor,6,skiing,3260,suburban,26,80,winter,1,0,1
61,non-binary,97299,master,0,swimming,4666,suburban,237,88,winter,1,1,0
62,male,48605,high school,0,sunbathing,4719,suburban,234,120,spring,1,0,0
67,female,99720,master,0,hiking,3717,urban,100,94,spring,1,1,0
37,non-binary,96966,doctorate,5,sunbathing,1722,rural,107,77,fall,0,0,0
60,male,68248,master,8,hiking,898,suburban,101,251,summer,1,1,1
58,female,66702,doctorate,6,sunbathing,2654,suburban,128,292,summer,0,1,0
64,male,29241,master,9,sunbathing,3067,suburban,66,141,summer,1,0,0
31,female,77238,doctorate,5,skiing,4221,urban,132,31,fall,1,1,0
52,male,113034,high school,3,swimming,2765,urban,53,210,fall,1,0,0
55,non-binary,111278,doctorate,2,skiing,1112,rural,110,149,summer,0,1,1
63,non-binary,29143,bachelor,6,swimming,4890,suburban,216,6,spring,0,1,0
19,male,87408,doctorate,5,hiking,1856,suburban,195,209,summer,1,1,1
38,non-binary,113594,master,7,swimming,2474,urban,38,79,spring,1,0,0
19,female,27626,doctorate,1,skiing,1448,urban,73,202,spring,0,0,1
39,non-binary,66602,master,5,sunbathing,2981,suburban,290,44,winter,0,1,0
68,non-binary,29072,doctorate,4,hiking,3837,suburban,130,38,summer,1,1,0
60,female,93068,high school,4,skiing,4574,urban,201,181,spring,0,1,0
65,non-binary,55812,doctorate,0,sunbathing,2256,suburban,65,227,summer,1,1,0
60,non-binary,87063,doctorate,0,skiing,4537,urban,104,19,summer,1,0,0
46,female,63821,high school,0,swimming,769,rural,137,90,summer,0,1,0
24,male,25030,bachelor,3,skiing,3645,rural,117,279,summer,0,1,1
63,female,90724,master,1,sunbathing,2374,urban,149,123,fall,0,1,0
18,male,32906,bachelor,4,swimming,1096,urban,59,132,winter,1,1,0
48,male,100696,doctorate,3,swimming,2994,urban,20,13,summer,1,0,0
50,female,79971,bachelor,8,skiing,801,suburban,247,228,spring,1,0,0
34,male,79365,bachelor,1,skiing,1158,urban,27,85,fall,0,0,1
29,female,83796,doctorate,6,skiing,1737,urban,226,84,summer,0,0,0
42,non-binary,90653,doctorate,1,swimming,1076,urban,118,0,fall,1,1,0
19,non-binary,76116,master,2,hiking,4727,rural,92,203,summer,1,0,1
34,female,46200,doctorate,2,swimming,944,urban,163,291,fall,0,0,0
63,female,62298,bachelor,8,skiing,3258,urban,70,122,spring,1,1,1
55,male,22676,high school,3,sunbathing,1418,rural,204,87,spring,0,0,0
52,non-binary,66266,bachelor,6,sunbathing,4112,suburban,288,11,spring,1,0,0
19,non-binary,21854,bachelor,5,hiking,2265,urban,133,136,fall,0,0,1
25,male,81604,doctorate,7,skiing,1137,urban,186,165,spring,0,0,0
51,female,42700,bachelor,2,hiking,1760,suburban,22,285,winter,0,0,1
53,male,42393,doctorate,4,sunbathing,3754,rural,72,102,fall,0,1,0
18,male,95619,high school,0,skiing,687,suburban,77,151,fall,0,0,1
60,female,112472,master,4,skiing,1044,urban,248,50,fall,1,1,0
43,female,103795,bachelor,4,skiing,1002,rural,204,128,summer,1,0,0
49,male,29464,high school,9,sunbathing,1077,rural,51,94,spring,1,1,0
27,male,40537,high school,7,swimming,1073,urban,89,49,winter,0,0,0
42,female,97912,doctorate,6,hiking,1857,urban,219,255,spring,1,1,1
25,non-binary,75314,master,4,swimming,4974,urban,60,93,summer,0,0,0
56,female,103853,doctorate,8,hiking,2262,suburban,296,41,fall,1,1,0
53,female,29118,high school,4,swimming,1645,rural,205,213,spring,1,1,0
44,male,76214,high school,1,sunbathing,1541,urban,289,148,spring,0,1,0
51,female,63490,master,8,sunbathing,3816,urban,241,97,fall,0,1,0
28,female,88354,doctorate,0,skiing,4886,suburban,39,224,fall,0,0,1
58,male,65476,bachelor,9,skiing,4059,rural,227,11,fall,1,1,0
65,female,31715,high school,8,skiing,3480,rural,30,44,summer,1,1,1
